0 1 0
1 2 1.00
1 2 1.000000
2 3 2.00
2 4 4.000000
3 4 3.00
3 6 7.754888
4 5 4.00
4 8 12.000000
5 6 5.00
5 10 16.609640
6 7 6.00
6 12 21.509775
7 8 7.00
7 14 26.651484
8 9 8.00
8 16 32.000000
9 10 9.00
9 18 37.529325
10 11 10.00
10 20 43.219281
11 12 11.00
11 22 49.053748
12 13 12.00
12 24 55.019550
13 14 13.00
13 26 61.105716
14 15 14.00
14 28 67.302969
15 16 15.00
15 30 73.603359
16 17 16.00
16 32 80.000000
17 18 17.00
17 34 86.486868
18 19 18.00
18 36 93.058650
19 20 19.00
19 38 99.710623
20 21 20.00
20 40 106.438562
21 22 21.00
21 42 113.238666
22 23 22.00
22 44 120.107496
23 24 23.00
23 46 127.041925
24 25 24.00
24 48 134.039100
25 26 25.00
25 50 141.096405
26 27 26.00
26 52 148.211433
27 28 27.00
27 54 155.381963
28 29 28.00
28 56 162.605938
29 30 29.00
29 58 169.881449
30 31 30.00
30 60 177.206718
31 32 31.00
31 62 184.580086
32 33 32.00
32 64 192.000000
33 34 33.00
33 66 199.465006
34 35 34.00
34 68 206.973737
35 36 35.00
35 70 214.524906
36 37 36.00
36 72 222.117300
37 38 37.00
37 74 229.749775
38 39 38.00
38 76 237.421246
39 40 39.00
39 78 245.130687
40 41 40.00
40 80 252.877124
41 42 41.00
41 82 260.659632
42 43 42.00
42 84 268.477332
43 44 43.00
43 86 276.329384
44 45 44.00
44 88 284.214991
45 46 45.00
45 90 292.133389
46 47 46.00
46 92 300.083850
47 48 47.00
47 94 308.065676
48 49 48.00
48 96 316.078200
49 50 49.00
49 98 324.120782
50 51 50.00
50 100 332.192809
51 52 51.00
51 102 340.293692
52 53 52.00
52 104 348.422865
53 54 53.00
53 106 356.579784
54 55 54.00
54 108 364.763925
55 56 55.00
55 110 372.974784
56 57 56.00
56 112 381.211876
57 58 57.00
57 114 389.474731
58 59 58.00
58 116 397.762898
59 60 59.00
59 118 406.075940
60 61 60.00
60 120 414.413436
61 62 61.00
61 122 422.774978
62 63 62.00
62 124 431.160171
63 64 63.00
63 126 439.568635
64 65 64.00
64 128 448.000000
65 66 65.00
65 130 456.453908
66 67 66.00
66 132 464.930012
67 68 67.00
67 134 473.427976
68 69 68.00
68 136 481.947473
69 70 69.00
69 138 490.488188
70 71 70.00
70 140 499.049811
71 72 71.00
71 142 507.632045
72 73 72.00
72 144 516.234600
73 74 73.00
73 146 524.857193
74 75 74.00
74 148 533.499549
75 76 75.00
75 150 542.161402
76 77 76.00
76 152 550.842491
77 78 77.00
77 154 559.542564
78 79 78.00
78 156 568.261373
79 80 79.00
79 158 576.998679
80 81 80.00
80 160 585.754248
81 82 81.00
81 162 594.527850
82 83 82.00
82 164 603.319264
83 84 83.00
83 166 612.128273
84 85 84.00
84 168 620.954664
85 86 85.00
85 170 629.798230
86 87 86.00
86 172 638.658769
87 88 87.00
87 174 647.536084
88 89 88.00
88 176 656.429982
89 90 89.00
89 178 665.340275
90 91 90.00
90 180 674.266779
91 92 91.00
91 182 683.209312
92 93 92.00
92 184 692.167700
93 94 93.00
93 186 701.141769
94 95 94.00
94 188 710.131352
95 96 95.00
95 190 719.136283
96 97 96.00
96 192 728.156400
97 98 97.00
97 194 737.191546
98 99 98.00
98 196 746.241565
99 100 99.00
99 198 755.306305
100 101 100.00
100 200 764.385619
101 102 101.00
101 202 773.479360
102 103 102.00
102 204 782.587385
103 104 103.00
103 206 791.709554
104 105 104.00
104 208 800.845731
105 106 105.00
105 210 809.995779
106 107 106.00
106 212 819.159568
107 108 107.00
107 214 828.336968
108 109 108.00
108 216 837.527850
109 110 109.00
109 218 846.732091
110 111 110.00
110 220 855.949568
111 112 111.00
111 222 865.180161
112 113 112.00
112 224 874.423751
113 114 113.00
113 226 883.680223
114 115 114.00
114 228 892.949462
115 116 115.00
115 230 902.231356
116 117 116.00
116 232 911.525795
117 118 117.00
117 234 920.832672
118 119 118.00
118 236 930.151880
119 120 119.00
119 238 939.483314
120 121 120.00
120 240 948.826871
121 122 121.00
121 242 958.182452
122 123 122.00
122 244 967.549955
123 124 123.00
123 246 976.929284
124 125 124.00
124 248 986.320342
125 126 125.00
125 250 995.723036
126 127 126.00
126 252 1005.137270
127 128 127.00
127 254 1014.562955
128 129 128.00
128 256 1024.000000
129 130 129.00
129 258 1033.448316
130 131 130.00
130 260 1042.907816
131 132 131.00
131 262 1052.378413
132 133 132.00
132 264 1061.860024
133 134 133.00
133 266 1071.352564
134 135 134.00
134 268 1080.855952
135 136 135.00
135 270 1090.370106
136 137 136.00
136 272 1099.894946
137 138 137.00
137 274 1109.430395
138 139 138.00
138 276 1118.976375
139 140 139.00
139 278 1128.532809
